nu	alpha	sigma0	epsilon	mean_p	std_p	mean_q	std_q	sigma_gap	var_gap	kl_objective	max_abs_cdf_gap	max_cdf_gap_x	h_roots	H_roots
2.5	0.4	0.5	0.2	0.07823902	0.49384072	0.07823902	0.49384072	0.00000000e+00	2.77555756e-17	0.46735607	1.13586770e-04	0.09000000	-0.7640, 0.0909, 0.9461	-0.4053, 0.5820
1.64483	0.607964	0.5	0.303982	0.11602895	0.48635099	0.11602815	0.48634688	4.10283683e-06	3.99082065e-06	0.46735867	3.87757020e-04	0.13200000	-0.7079, 0.1329, 0.9748	-0.3537, 0.6172
1.08219	0.924052	0.5	0.462026	0.16732555	0.47117105	0.16731965	0.47112767	4.33857643e-05	4.08823500e-05	0.46738669	1.27988638e-03	0.18900000	-0.6242, 0.1877, 1.0030	-0.2828, 0.6555
0.712009	1.40448	0.5	0.702238	0.22926857	0.44433762	0.22920496	0.44396523	3.72385174e-04	3.30790813e-04	0.46764210	3.90983887e-03	0.24600000	-0.5111, 0.2469, 1.0146	-0.1946, 0.6823
0.468454	2.13468	0.5	1.06734	0.29112911	0.40650196	0.29070877	0.40425037	2.25158673e-03	1.82547918e-03	0.46934025	1.04023068e-02	0.29100000	-0.3827, 0.2924, 0.9921	-0.1059, 0.6790
0.308212	3.24452	0.5	1.62226	0.33960496	0.36697203	0.33810805	0.35828178	8.69025179e-03	6.30263826e-03	0.47658502	2.30715606e-02	0.30900000	-0.2663, 0.3093, 0.9372	-0.0396, 0.6436
0.202783	4.93139	0.5	2.46569	0.36969488	0.33663882	0.36684206	0.31459280	2.20460244e-02	1.43570683e-02	0.49609904	4.30511652e-02	0.30000000	-0.1805, 0.3003, 0.8731	-0.0056, 0.5959
0.133417	7.49527	0.5	3.74763	0.38545582	0.31847106	0.38264851	0.27758142	4.08896395e-02	2.43723709e-02	0.53222290	6.98719085e-02	0.27900000	-0.1249, 0.2791, 0.8196	0.0041, 0.5560
0.0877798	11.3921	0.5	5.69607	0.39293291	0.30919853	0.39281813	0.24750693	6.16916036e-02	3.43440522e-02	0.58369886	1.01222681e-01	0.25800000	-0.0897, 0.2591, 0.7810	0.0027, 0.5312
0.0577532	17.315	0.5	8.65752	0.39630732	0.30486145	0.40140249	0.22314887	8.17125827e-02	4.31450871e-02	0.64570503	1.34200022e-01	0.24900000	-0.0662, 0.2479, 0.7546	-0.0014, 0.5187
0.0379978	26.3173	0.5	13.1587	0.39779524	0.30291740	0.40970170	0.20323516	9.96822336e-02	5.04544181e-02	0.71297827	1.67008007e-01	0.24600000	-0.0496, 0.2452, 0.7363	-0.0045, 0.5139
0.025	40	0.5	20	0.39844454	0.30206283	0.41775280	0.18676214	1.15300688e-01	5.63618553e-02	0.78140925	1.98403372e-01	0.24900000	-0.0371, 0.2477, 0.7232	-0.0059, 0.5131
5	0.2	1	0.2	0.15647804	0.98768144	0.15647804	0.98768144	0.00000000e+00	1.11022302e-16	-0.22579111	1.13586770e-04	0.18000000	-1.5280, 0.1818, 1.8921	-0.8106, 1.1640
3.28967	0.303982	1	0.303982	0.23205790	0.97270197	0.23205749	0.97269369	8.28098504e-06	1.61097924e-05	-0.22578851	3.88245702e-04	0.26400000	-1.4162, 0.2658, 1.9498	-0.7081, 1.2350
2.16438	0.462026	1	0.462026	0.33465110	0.94234210	0.33464535	0.94225518	8.69202795e-05	1.63809723e-04	-0.22576049	1.28243980e-03	0.37800000	-1.2489, 0.3755, 2.0064	-0.5665, 1.3119
1.42402	0.702238	1	0.702238	0.45853715	0.88867524	0.45840992	0.88793045	7.44793422e-04	1.32320423e-03	-0.22550508	3.90983639e-03	0.49200000	-1.0221, 0.4938, 2.0291	-0.3892, 1.3645
0.936909	1.06734	1	1.06734	0.58225823	0.81300391	0.58141753	0.80850084	4.50307073e-03	7.30175057e-03	-0.22380693	1.04023025e-02	0.58200000	-0.7654, 0.5847, 1.9843	-0.2118, 1.3580
0.616423	1.62226	1	1.62226	0.67920991	0.73394407	0.67621441	0.71656383	1.73802394e-02	2.52101745e-02	-0.21656216	2.30706130e-02	0.61800000	-0.5325, 0.6187, 1.8744	-0.0792, 1.2873
0.405565	2.46569	1	2.46569	0.73938975	0.67327765	0.73368420	0.62918564	4.40920056e-02	5.74282187e-02	-0.19704814	4.30512112e-02	0.60000000	-0.3610, 0.6006, 1.7461	-0.0112, 1.1918
0.266835	3.74763	1	3.74763	0.77091163	0.63694212	0.76529515	0.55516145	8.17806646e-02	9.74910219e-02	-0.16092428	6.98710052e-02	0.55800000	-0.2497, 0.5582, 1.6391	0.0082, 1.1120
0.17556	5.69607	1	5.69607	0.78586581	0.61839706	0.78563533	0.49501370	1.23383360e-01	1.37376360e-01	-0.10944832	1.01222088e-01	0.51600000	-0.1793, 0.5182, 1.5620	0.0053, 1.0624
0.115506	8.65752	1	8.65752	0.79261465	0.60972290	0.80280403	0.44629688	1.63426021e-01	1.72581112e-01	-0.04744215	1.34199773e-01	0.49800000	-0.1325, 0.4958, 1.5091	-0.0027, 1.0374
0.0759956	13.1587	1	13.1587	0.79559047	0.60583480	0.81940185	0.40646994	1.99364856e-01	2.01817989e-01	0.01983109	1.67007139e-01	0.49200000	-0.0991, 0.4905, 1.4727	-0.0089, 1.0279
0.05	20	1	20	0.79688907	0.60412566	0.83550540	0.37352423	2.30601426e-01	2.25447458e-01	0.08826207	1.98403260e-01	0.49800000	-0.0742, 0.4955, 1.4465	-0.0118, 1.0263
